id;prj;sec;dim;quality;rem_len;marking_text;used_in
246;056001;05001;RP220X11;A40;1798;05001-RP220X11-A40-4-L1798;
247;056001;05001;RP220X11;A40;2140;05001-RP220X11-A40-5-L2140;
248;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-6-L2204;
249;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-7-L2204;
250;056001;05001;RP220X11;A40;2254;05001-RP220X11-A40-8-L2254;
251;056001;05001;RP220X11;A40;9601;05001-RP220X11-A40-9-L9601;
252;056001;05003;RP180X11;A40;1333;05003-RP180X11-A40-4-L1333;
253;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-5-L2204;
254;056001;05003;RP180X11;A40;4775;05003-RP180X11-A40-6-L4775;
255;056001;05003;RP200X10;A40;1313;05003-RP200X10-A40-4-L1313;
256;056001;05003;RP200X10;A40;2285;05003-RP200X10-A40-5-L2285;
257;056001;05002;RP200X10;A40;9602;05002-RP200X10-A40-6-L9602;
258;056001;05002;RP200X10;A40;770;05002-1468;
259;056001;05003;RP200X10;A40;770;05003-1468;
